text,type,prob
AP - China on Sunday condemns a missile test as a violation of the U.N.'s Dec. 12 internationally-recogn,soft,0.5
"Comments attributed to Nintendo #1 protagonist ""GrumpyFace"".


Teaser image ""Cover Summary: GrumpyFace",soft,0.8743254455948887
WALTER SMITH APPL-LOCK HERNANDEZ LITE DONE POINT THICKEL ROOM,soft,0.9873263406612659
"JENSON Button was fighting for the ticket at Pays & Surrender, so he gave a strange ""Damn It""",soft,0.9963548209542322
"KINDERSLEY, VST. 1772-1894. American Philosophical Society at Nyenia Uchumar",soft,0.9963548209542322
" SAMARRA, Iraq [2606/2440 CBB] MIRAQ-RAQF [2607/",soft,0.9963548209542322
"A police search concluded there were no suspects, he said.


Police say he rented apartments for about $1.",soft,0.9941915542829208
"LOS ANGELES, CA - MARCH 23: Sanders - to GOP: Mr. CHUCK AND POLL STATE FOR PRESIDENT",soft,0.9873263406612659
"Israel will not attend a bilateral summit between Russian President Vladimir Putin and German Chancellor Angela Merkel and TE quotes Mayer, but Germany's",soft,0.9873263406612659
"PalmOne Inc., one of the world's biggest present curators of tractor­trailers. We have received hundreds of",soft,0.9631808649398487
Consumers shrugged off record trade deficits with the United States and France last month and have already been temporarily cut off from credit over,soft,0.9631808649398487
"In one of the first two attempts, the pair went to an entrance leading into a shotgun being loaded onto a binocular stand",soft,0.9631808649398487
"AP - President Bush and American Advertiser Common Ground are promoting PR for Washington!


Spent Time Special Guest",soft,0.9458531720504955
p2pnet.== 6sp.custodio.tocu.overrapajipcalls.ip,soft,0.9873263406612659
AP - Indiana Pacers players guard De'Aaron Fox and Timberwolves guard Evan Turner join BUSINESS ESPN as they reflect on the job,soft,0.9101437525605001
"A main rail line between the Sahara in Africa and Europe has some three,000 homes and 178,196 total homes with or",soft,0.9873263406612659
"India #39;sportstandard #339


#39;tldr #340 Profile: https://twitter",soft,0.24564856210794656
"A Bosnian Serb fighter downed over the southeastern town of Mandevan on Sep.19, killing 16,406 Muslims",soft,0.9873263406612659
Clothing retailer's new fucktroll for running around under seasoning is the Houston-based wrangler expected to make a bid,soft,0.9998266903244327
"MICHAEL Schumacher, editor. 2.49 ( ) beverages, craft wine, unforte tour, craft spirits",soft,0.9963548209542322
"ISLAMABAD: On 15 April, thus giving a pause to international calls for her expulsion from Kashmir, reaction rapidly",soft,0.9991274406502355
"Despite a new call Friday from conservatives in Congress, Senators"" would likely vote down an FCC proposal to allow ISPs to refuse access",soft,0.9963548209542322
"Palestinian sources said on Tuesday that the 43-year-old Kurdish administrator denied involvement in the January incident, claiming only that it",soft,0.9873263406612659
pinkUZI writes: (2017-06-19T19:42:47.242000+00:00,soft,0.5
The Hall of Fame released the film smartly titled Hollywood PEZ: letter to Stanley Kubrick and an HLJ interview with Steven,soft,0.9873263406612659
West Indies have been forced to pay a blunder that cemented the notion the BCCI would defend its Indian Century and national,soft,0.9873263406612659
"Just imagine what David Ortiz and the vaunted ""In Sports Life"" program will announce at last week's X-Factor.",soft,0.9873263406612659
"Sony Corp. and Samsung Electronics Co., Raqqa became interconnected three times on one Twitter account to synchronize the store,",soft,0.9703267806040401
"NEW YORK - Stocks rose on Thursday as UFC 200 gets underway on Aug. 24, just two days before the event takes",soft,0.9101437525605001
" NEW YORK (Reuters) - When the settlement pushed through last month, the 47bn-denominated euro value of Swedish assets",soft,0.9963548209542322
AFP - The European Union declared a second jihadist imam in Brussels as he participated in a series of pick-up and drop,soft,0.9101437525605001
"The 130 extrasolar planets are hidden to everyone, and they must be accessed from Mordor. In order to find the significant",soft,0.9998266903244327
 NEW YORK (Reuters) - Hundreds and dozens of people are being rescued after a helicopter crashed while reporting from Vietnam on Wednesday morning,soft,0.9998266903244327
Three Indian truck drivers held at gunpoint on Thursday before challenging Customs inspectors by blocking a train from entering the migrant coastal city of,soft,0.9873263406612659
"Michael Clarke hit a sparkling 12-point third-quarter rally. Nyheim missed a screen pass midway through regulation, but the",soft,0.9631808649398487
"India posted 199/7109 on the joke post. ""Seeing Patsy say this is what I did 12 years ago.",soft,0.9963548209542322
"Reuters - Prices of computer chips crashed due to weak demand uncovered by US payment processors last month, provoking fears that investors would hold",soft,0.9963548209542322
"COLUMBIA, IL-61964


1142. LOS ANGELES, CA-60559",soft,0.6813240558830315
Reuters - Russia is working closer to a military coup although Iraq's parliament has said they could try to topple Mr Fadhil,soft,0.6726395769907115
"AFP - Apple Computers Sales Engineer Andre Belenko made a comments that sparked some political debate in Spain.


Alleg",soft,0.9963548209542322
"The U.S. Environmental Protection Agency does not have specific procedures for managing signatures completed by coal miners, which means the effects",soft,0.9631808649398487
"AP - An American jetliner went down just after midnight overnight on Angler Airways flight 165 taking off from Milan.

",soft,0.7543514378920535
"A growing cottage industry is allowing diamonds to be traded for solid gold. Uma Caron, director emeritus of the country",soft,0.6726395769907115
"Jarvis admitted yesterday it was an inconvenience, but added: ""I think this message agreed with the Editors' list of things",soft,0.9991274406502355
" #147;The single card had one instead of two characters


�That does not look like music,� ham",soft,0.5907270958089783
"Singapore shares ended lower Friday after surging despite anticipation that the all-China mega-remain had soared.


",soft,0.9805262721289872
The Sims 2 adds DNA recall to those you 'contactlling' from places of interest in anything from SSRNPs to remix,soft,0.9873263406612659
"The kidnappers of an Iraqi refugee camp were arrested on Thursday after security forces sealed off the city's subway system.

",soft,0.9941915542829208
Credit Suisse First Boston Square Lass Lassport Broad Ripple Atlantic Capital Baxter Investment Bank Chaki International Notes Bank Polar Funds,soft,0.9963548209542322
"Under international pressure to disarm the rebels, Hamas is making a long-term effort to conquer Alexandria, and is primarily seeking the",soft,0.9991274406502355
"Over 100,000 people finish the bloody summer body search, Barack Obama plans to focus heavily on a newly declassified trove of",soft,0.9631808649398487
"The case of a Muslim woman across the country who had escaped from treatment who had told her family she was ""final cut,""",soft,0.9991274406502355
Google Inc. stock dropped via 9% after the company said Walter Barem was an anointed head of the company school and,soft,0.9873263406612659
"Around 40 of the UK's biggest services and start-ups, including Stream, Starbucks, MaySport and when it launched its",soft,0.9963548209542322
Greg Maddux pitched as well as he could though opposing pitchers walked his three batters and made two changes operating just 26 innings,soft,0.9991274406502355
"Fiat and General Motors Felix Fewenberg. Billing errors are often fatal.


Lesson 3 Find that the",soft,0.8743254455948887
"MANNHEIM, HITLER & JONES. (1995). For 32 YEARS, IT SEEMS. Professor of",soft,0.9998266903244327
"Strong international sales growth and record financial performance electrify the Galaxy lineup.


Manufacturer: The South Low Low Mass",soft,0.9805262721289872
"The global airline industry is likely by far the largest source of taxpayers' refundable tax credit for the aviation industry in Slovakia,",soft,0.9101437525605001
"Ten outs away from winter did rekindle a hearted sense of the pressure. In effect, after their tap up the",soft,0.8144533152386513
